Confidence scores:
Mask 0: 0.9524536728858948
Mask 1: 0.9515621066093445
Mask 2: 0.94564288854599
Mask 3: 0.9455774426460266
Mask 4: 0.9452476501464844
Mask 5: 0.944499135017395
Mask 6: 0.9434767961502075
Mask 7: 0.9424649477005005
Mask 8: 0.942046046257019
Mask 9: 0.9417527318000793
Mask 10: 0.9408929347991943
Mask 11: 0.9406576156616211
Mask 12: 0.940522313117981
Mask 13: 0.9389459490776062
Mask 14: 0.9388741850852966
Mask 15: 0.938824474811554
Mask 16: 0.9385057091712952
Mask 17: 0.9383229613304138
Mask 18: 0.9380718469619751
Mask 19: 0.9372363090515137
Mask 20: 0.9370673298835754
Mask 21: 0.9352895021438599
Mask 22: 0.934837281703949
Mask 23: 0.9340057969093323
Mask 24: 0.932498037815094
Mask 25: 0.9323912262916565
Mask 26: 0.9323115348815918
Mask 27: 0.9318328499794006
Mask 28: 0.9310498237609863
Mask 29: 0.9308662414550781
Mask 30: 0.9307267069816589
Mask 31: 0.9306021928787231
Mask 32: 0.9302566647529602
Mask 33: 0.9302265048027039
Mask 34: 0.9300310015678406
Mask 35: 0.9290958642959595
Mask 36: 0.9289410710334778
Mask 37: 0.9288814067840576
Mask 38: 0.9283210635185242
Mask 39: 0.9282553195953369
Mask 40: 0.9268496036529541
Mask 41: 0.9258861541748047
Mask 42: 0.9245875477790833
Mask 43: 0.9242764115333557
Mask 44: 0.9219051003456116
Mask 45: 0.9215471744537354
Mask 46: 0.9215158820152283
Mask 47: 0.921059250831604
Mask 48: 0.9205580949783325
Mask 49: 0.919457733631134
Mask 50: 0.9192283749580383
Mask 51: 0.9183482527732849
Mask 52: 0.9174531102180481
Mask 53: 0.9159938097000122
Mask 54: 0.9154278039932251
Mask 55: 0.9108232259750366
Mask 56: 0.9073033332824707
Mask 57: 0.9058660864830017
Mask 58: 0.9052958488464355
Mask 59: 0.9041460156440735
Mask 60: 0.9017518758773804
Mask 61: 0.8996771574020386
Mask 62: 0.8963271379470825
Mask 63: 0.8959267735481262
Mask 64: 0.8939689993858337
Mask 65: 0.8909189701080322
Mask 66: 0.8890430927276611
Mask 67: 0.8881139755249023
Mask 68: 0.8869777321815491
Mask 69: 0.8862589001655579
Mask 70: 0.8833814859390259
Mask 71: 0.8702849745750427
Mask 72: 0.8526827692985535
Mask 73: 0.8185058832168579
Mask 74: 0.8084200620651245
Mask 75: 0.7938064336776733
Mask 76: 0.7797682285308838
Mask 77: 0.7413383722305298
Mask 78: 0.716176450252533
Mask 79: 0.7131373882293701
Mask 80: 0.6994598507881165
Mask 81: 0.6715269684791565
Mask 82: 0.637236475944519
Mask 83: 0.6174713969230652
Mask 84: 0.5986328125
Mask 85: 0.5524794459342957
Mask 86: 0.5192037224769592
Mask 87: 0.5036240220069885
Mask 88: 0.49229753017425537
Mask 89: 0.45560261607170105
Mask 90: 0.44800782203674316
Mask 91: 0.4289510250091553
Mask 92: 0.403560996055603
Mask 93: 0.4013756811618805
